"","label","rawValidateRSD","SERRFValidateRSD"
"84","PE (36:2) B [M-H]-",0.222191702690328,0.103213375710071
"85","PE (36:3) [M-H]-",0.245350049569408,0.103291504776661
"86","PE (36:4) [M-H]-",0.245906633886446,0.0955565356802278
"87","PE (38:2) [M-H]-",0.264191394472163,0.0703840405513083
"88","PE (38:4) A [M-H]-",0.327477028491818,0.106202172735392
"89","PE (38:4) B [M-H]-",0.212710397832971,0.0761462122467577
"90","PE (38:6) [M-H]-",0.258421163607716,0.114590682521011
"91","PE (40:6) [M-H]-",0.289306771091062,0.127662565867972
"92","PE (44:3) [M-H]-",0.299595501072893,0.106317766447119
"93","PI (32:1) [M-H]-",0.267354476515093,0.124421158947602
"94","PI (34:1) [M-H]- ",0.272313552491549,0.0872512779496272
"95","PI (34:2) [M-H]- ",0.2494996038206,0.0913003223051425
"96","PI (36:1) [M-H]- ",0.264703226489513,0.0744725805556375
"97","PI (36:2) [M-H]- ",0.272224440090581,0.0683224304152136
"98","PI (36:3) [M-H]- ",0.273326401957641,0.147999072239309
"99","PI (36:4) [M-H]-",0.253641631030704,0.0894431211947803
"100","PI (38:3) [M-H]-",0.25154232349458,0.073717925285847
"101","PI (38:4) [M-H]- ",0.300259127790532,0.0841717896605178
"102","PI (38:5) [M-H]-",0.338861914829458,0.188571553928132
"103","PI (40:6) [M-H]-",0.247709177617337,0.0897603774393931
"104","plasmenyl-PC (32:0) [M+HCOO]-",0.247637073291032,0.0457811728761807
"105","plasmenyl-PC (34:0) [M+HCOO]- ",0.233005987617523,0.0842354854073681
"106","plasmenyl-PC (34:1) [M+HCOO]- ",0.258500697413564,0.0694361340606396
"107","plasmenyl-PC (34:2) [M+HCOO]- ",0.257627358132867,0.113729179887551
"108","plasmenyl-PC (36:0) [M+HCOO]-",0.484586788116743,0.105993635153906
"109","plasmenyl-PC (36:1) [M+HCOO]-",0.298858479394357,0.18969376819602
"110","plasmenyl-PC (36:2) [M+HCOO]-",0.283967784911725,0.133511132124383
